{tclvariable 
	{energy {-2471.42140171}}
	{17 8.673345 14.104607 2.254746 0.602059076563 -0.668378084997 -0.118799015108 -0.420336053454 28.4812119642 -0.545678591967 -37.0904578438}
	{18 11.471579 11.523152 7.119361 0.791106347182 0.609135267323 0.0339950149189 0.044151019376 -3.68179478891 -2.8227631192 -10.2897009986}
	{19 13.678039 14.402876 13.86341 0.736484050739 -0.539015037134 -0.180753012453 -0.366582025255 1.34295721163 -0.0814535365134 8.68621202854}
	{20 6.015034 9.799871 7.770642 0.823070401665 -0.420318205119 -0.379654185274 -0.0418380204173 -3.66802936587 4.75828693674 4.94499672859}
	{21 11.159081 3.193197 12.891644 0.571217825002 -0.352576891985 0.0453439861085 -0.739826773347 0.00141971486834 11.3493582225 -6.17570282316}
	{22 1.510574 10.895353 13.606039 0.875786804699 -0.287736935834 -0.371309917198 0.111057975234 -2.53446294294 -2.35990544493 -7.79419317234}
	{23 15.006351 0.25923 8.836799 0.758729035673 -0.234911011045 -0.531813025004 0.293806013814 15.6300479002 -0.652129743397 20.0257530877}
	{24 9.058298 2.368114 12.99097 0.774323023281 -0.210283006322 -0.0273290008217 -0.596203017925 17.5820170774 9.79471813743 -12.1363597226}
	{25 3.39938 10.195469 1.47999 0.84834210113 0.461487055013 0.124009014783 0.227963027175 13.4714649538 -2.89795241491 -14.2298124631}
	{26 11.789297 0.309584 4.734696 0.705403004512 -0.541903003466 -0.126058000806 -0.439155002809 -5.81218668097 -12.8737601079 3.51507291667}
	{27 10.218251 6.157517 3.245826 0.7710982755 0.287474102709 -0.198460070906 -0.532334190193 13.351858791 15.6818195091 16.1957225505}
	{28 12.612441 3.662698 8.895762 0.923122431633 0.374106174924 -0.0333610155989 -0.0823200384912 -5.00895651402 4.66112319897 -3.54875101138}
	{29 11.834541 11.859357 10.705552 0.771907160389 0.494061102657 -0.215676044814 -0.336967070016 -9.06060861327 13.9603839865 -7.17493826959}
	{30 3.4874 14.086378 13.994612 0.745637513082 0.0143360098648 0.012806008812 0.666074458334 1.82803740499 7.09472347184 0.596958810326}
	{31 4.59908 2.344384 5.271747 0.709518772145 -0.578489814224 -0.371545880682 -0.154551950367 19.716067729 5.38993916378 -23.0604105326}
	{32 1.811563 6.756901 6.553964 0.707533668742 0.535662749209 -0.278224869739 -0.367494827944 -35.7620432264 29.0016649526 -62.7927580702}
	{33 15.050672 10.146538 14.18293 0.624180232931 -0.556293207597 -0.0364750136117 -0.547363204264 -2.70574246699 4.74644228741 -1.47453558781}
	{34 11.598722 5.178782 6.904366 0.780633305082 0.514065200903 0.195494076402 0.29686811602 16.3885663392 12.5441860127 0.732576165929}
	{35 3.213477 15.464281 3.087708 0.764729371909 -0.270154131383 -0.529733257624 0.248170120692 -16.5529625088 -41.5426706198 9.9527200347}
	{36 13.378105 6.698173 6.869902 0.772009270732 0.174232061101 -0.134570047192 -0.596268209103 3.17660298705 0.061264034225 2.50748089192}
	{37 14.345243 13.540364 11.36288 0.749485033389 0.546943024365 -0.219875009795 -0.301298013422 -6.96449138086 -18.138297021 -0.379710981606}
	{38 2.922533 4.19776 7.348662 0.726418045073 0.522297032408 -0.26075901618 -0.362667022503 -79.2734857529 1.80427149573 -77.7470574068}
	{39 1.523275 14.48773 5.024153 0.871229861544 -0.164948973786 -0.345073945161 0.307691951101 -3.11462032222 -12.6332519282 5.11225103074}
	{40 14.909335 11.107984 1.548612 0.438570956953 -0.433108957489 0.120868988136 -0.778114923625 18.0339261535 29.4589711435 -34.0779923503}
	{41 10.610636 8.759175 8.245211 0.96023191341 0.27745197498 0.00866799921835 0.0299989972948 -16.0229073734 -16.8730421401 -1.25714278565}
	{42 0.043145 2.37113 4.138426 0.34104797349 -0.470502963427 0.187256985444 -0.791989938438 2.65533530034 -11.0155450272 6.91111711422}
	{43 8.046798 4.485381 11.274989 0.706050081355 0.511242058908 -0.287391033115 -0.396902045733 3.55339606723 22.6109629941 18.2744817387}
	{44 1.912711 12.019126 9.243662 0.774241945011 -0.325342976893 -0.514172963482 0.174147987631 2.38628816659 2.00887986135 1.25287134747}
	{45 9.553436 10.963295 11.239462 0.668683222691 -0.606468201972 -0.150298050054 -0.403075134236 6.25297273608 -2.81645696578 14.9615370806}
	{46 4.667525 15.017362 1.996533 0.563001175299 -0.692446215603 -0.0821150255677 -0.44362713813 15.3639712137 10.7155671862 0.0301800284035}
	{47 13.462426 2.775417 11.818297 0.71120327323 0.7004512691 -0.0418550160799 -0.0424980163269 15.2518182591 3.89691206314 -7.82988326672}
	{48 7.726382 2.091776 15.712838 0.918205788915 -0.289428933464 -0.268141938357 -0.035055991941 61.5039723322 12.5548418928 15.9216896689}
	{49 11.012078 12.633642 7.823084 0.882227353516 0.467743187429 0.0251870100927 0.0475060190361 9.86672273517 8.00683532621 8.12775767353}
	{50 10.299319 6.547444 10.726257 0.858849744218 0.431028871631 -0.12413596303 -0.247348926335 -15.695983954 25.7050376395 23.104480015}
	{51 14.078228 0.503041 8.062252 0.788977753621 0.39202287758 -0.210520934259 -0.423689867691 -10.1820358116 12.1851833491 -1.3171715696}
	{52 1.518558 2.695727 2.055305 0.688151231606 -0.512591172519 -0.0773720260405 -0.507653170857 -3.23170829263 5.87878905025 -2.32060915589}
	{53 1.598351 6.926535 15.846087 0.478458928021 -0.636844904193 0.0719169891808 -0.600277909694 -2.24253367603 -3.54416176806 8.32328169139}
	{54 13.473527 14.499039 7.081738 0.805742412475 0.567102290311 -0.0983080503258 -0.139677071503 -7.53551906997 -9.24958897124 -12.6131777151}
	{55 4.623441 11.229022 9.540375 0.752623894566 0.434972939065 0.247351965349 0.427986940044 -3.39926444571 -10.2359166337 -8.17123635524}
	{56 6.74763 1.279982 1.883181 0.816986966273 0.466025980761 0.168281993053 0.295013987821 -11.2915232845 -1.1840419434 10.634003565}
	{57 1.671359 8.795114 9.935517 0.312961812693 -0.578868653548 0.227362863923 -0.717824570382 -2.85948426077 -0.656652521259 -5.59621838862}
	{58 10.284961 9.719695 5.284795 0.771167804015 -0.431509890336 -0.467083881295 0.0305299922411 8.37270643055 18.8431654962 -7.39417314239}
	{59 8.064191 11.629039 5.521861 0.722384053646 0.383839028505 -0.269887020042 -0.50792703772 -16.2305586667 24.3478314374 7.60566466022}
	{60 9.032756 12.093087 7.426213 0.727337824043 0.665416839023 0.113351972578 0.123900970026 -7.99858969185 6.50392598735 1.67804946922}
	{61 11.474656 13.685454 14.715854 0.48025008938 -0.38031007078 0.0916170170509 -0.78506714611 8.95063592059 -10.8422910764 -3.28202542266}
	{62 6.252159 9.10167 13.586056 0.69085631608 0.640211292909 -0.228333104467 -0.246396112731 -3.41939671378 4.67115256781 17.6522834981}
	{63 2.259635 5.660186 11.37669 0.661704884452 0.498076913025 -0.337027941148 -0.447747921814 -1.05823627293 4.46711849234 9.44502672415}
	{64 14.006146 12.654924 14.654346 0.741166093416 0.429907054185 0.258704032607 0.446010056215 29.402075797 -51.2305373028 -44.8860678846}
	{65 9.994349 0.109662 11.79336 0.889194110033 -0.113153014002 -0.264229032697 0.355968044049 -1.95017213251 -6.31255985517 -2.11134702168}
	{66 8.096421 4.832025 8.095195 0.717908038548 0.44026302364 0.281904015137 0.459681024683 0.79583515606 -5.78378211305 -12.912447833}
	{67 11.279515 2.553295 1.302484 0.388436021957 -0.54577403085 0.164624009306 -0.723980040924 -24.9587413728 28.2999691355 16.2763709732}
	{68 11.802768 8.765464 10.338999 0.517599695602 -0.680648599714 0.000569999664786 -0.518466695092 -4.99221980186 -1.83305250819 20.9600882569}
	{69 12.158335 4.788902 11.894341 0.900046859781 0.303705952685 0.0999239844327 0.296130953865 -0.127901153572 3.84771304334 -4.05902496049}
	{70 14.003675 0.404344 2.199944 0.900589655486 0.434660833724 0.00124699952297 0.00258399901151 17.9687534313 0.748757669518 26.0948125053}
	{71 13.692739 5.071851 11.480325 0.840985977996 0.236299993817 -0.131661996555 -0.46858298774 -28.0518860708 -9.17476650422 -17.7700578732}
	{72 0.769176 5.801658 14.261016 0.83738031918 0.325067123904 -0.159034060618 -0.409675156154 2.86153857836 -3.87529746548 2.89399117381}
	{73 2.129808 0.115204 1.755055 0.954872940567 -0.053966996641 -0.0976809939202 0.275251982868 39.1006844999 -37.2876953038 -33.5402119695}
	{74 6.599895 3.691362 1.930393 0.759866341922 -0.33452915053 -0.0521350234595 -0.554955249717 -0.413225390746 -0.0291185234338 -1.28006918557}
	{75 5.361931 13.473407 14.542991 0.6916465258 0.343651764389 0.282657806207 0.568887609965 -4.53463683491 18.4324056017 -0.243785594791}
	{76 9.856246 3.815788 8.216495 0.65596587584 0.280712946867 0.275653947825 0.644145878077 -10.2340792872 6.43904796205 10.057061158}
	{77 9.368827 6.738868 9.87126 0.748255985793 0.589006988817 -0.188811996415 -0.239861995446 37.5560423177 3.32546030276 7.05233935138}
	{78 0.66942 2.674177 2.934411 0.438877172364 -0.546554214653 0.126046049503 -0.701981275695 -10.8095020427 8.37405232957 -4.69410378135}
	{79 2.45839 0.424932 5.266102 0.702696505181 0.387532278604 -0.288154207159 -0.522497375633 -0.452925159872 2.40313956663 -1.43126690452}
	{80 12.997509 5.501151 14.195524 0.785906593717 -0.292675848698 -0.0537489722139 -0.542035719789 19.4316657998 5.4508420458 -1.6378475658}
	{81 7.157719 4.348437 0.3074 0.866063756606 0.482369864437 0.0639129820382 0.114751967751 14.3822489714 13.1323219993 24.6890239969}
	{82 11.997345 4.530535 0.419657 0.977203106154 -0.116647012671 -0.0845390091835 -0.155951016941 -3.90252835438 32.3687492177 -18.9838748007}
	{83 5.699963 11.306715 12.43252 0.922995181744 0.185141036456 -0.066346013064 -0.330758065129 -12.2893563617 7.00712727948 -0.00775210683023}
	{84 3.084329 0.14878 15.408276 0.815167169966 0.174046036289 0.115355024052 0.540281112651 9.13237532706 10.7155852215 -18.4941235074}
	{85 11.513307 3.581326 15.184571 0.945466769697 -0.176163957089 -0.236516942388 0.138269966319 -5.96531107278 2.77626889772 14.9184935495}
	{86 15.852714 0.029471 14.306466 0.724232228103 -0.570704179748 -0.224589070736 -0.315189099272 5.75231367608 -2.67783789289 15.6952796876}
	{87 10.756516 10.748665 13.428615 0.73940002557 0.338070011691 -0.242104008372 -0.529511018311 12.6611891198 -5.39344937615 3.27864808956}
	{88 6.196995 4.786083 15.208781 0.753494020104 0.656935017528 -0.0171760004583 -0.0197010005256 -43.3341918593 8.93392393502 -24.1142623825}
	{89 13.787724 4.518028 0.530267 0.643209886535 -0.656352884216 -0.205399963767 -0.336589940624 -6.2998889543 9.08246728858 2.5457546051}
	{90 14.565611 2.58173 0.63063 0.80094350417 0.598224376565 0.0148650093571 0.0199030125284 -18.5745601037 -4.05612562123 -15.2174846457}
	{91 13.072046 10.103997 0.443895 0.913818950097 -0.307520983206 -0.241043986837 -0.110740993952 30.4398485742 -4.51567353687 14.4764701904}
	{92 2.285619 0.645881 12.387105 0.592466798144 -0.476501837654 0.0217699925829 -0.649195778816 -3.68265286417 3.0648986505 -0.39966797395}
	{93 5.576096 4.291337 8.136484 0.72059589053 0.452361931279 0.279376957558 0.445037932391 -8.82190730788 5.77665221957 7.64369086147}
	{94 11.250297 10.479002 6.213619 0.649094104509 0.556741089639 0.337487054338 0.393470063351 15.8951161356 39.5225298992 -17.6949039527}
	{95 8.128513 3.059063 7.092041 0.820715788889 -0.283449927089 -0.0712699816674 -0.490919873722 10.620621299 4.43834181016 -1.57067631279}
	{96 8.153724 12.381297 1.14221 0.511791240632 -0.434583204331 0.0783540368402 -0.736931346488 -12.9710562318 -11.0279842525 10.5059877834}
	{97 10.715089 14.13885 10.902243 0.872189818352 -0.358585925319 -0.186373961185 -0.275618942598 -4.92526479662 10.2147246543 -3.77470956918}
	{98 9.095282 9.866648 4.173193 0.840826999079 -0.185353999797 -0.402631999559 0.31071099966 12.3164094005 -14.2855915091 -1.71695642245}
	{99 14.309007 15.14113 11.758857 0.639499007965 -0.441531005499 -0.00353200004399 -0.629348007839 0.923953564479 0.368817420524 -0.374032439457}
	{100 1.402689 10.186228 7.271097 0.809743156699 -0.339031065608 -0.462420089486 0.124666024125 2.78892942976 3.02555920904 10.6415984938}
	{101 5.506618 1.90746 8.788155 0.723104230729 0.677502216178 -0.0920130293596 -0.098207031336 11.8765626248 -6.14442202201 -3.14328627293}
	{102 7.2782 6.518794 9.084356 0.735439173829 -0.559113132152 -0.231333054678 -0.304970072083 2.02097669874 0.0037977766988 -1.94103046587}
	{103 6.559555 10.829189 11.874438 0.561612982132 -0.654625979173 -0.0348639988908 -0.504816983939 13.6726874386 -11.2618138649 0.152197667234}
	{104 5.509628 0.238935 7.3578 0.745489982973 0.0837929980862 -0.0738569983131 -0.657090984992 -2.82800203954 -4.91630367951 10.6461843533}
	{105 4.468565 5.971394 10.678331 0.72351383446 -0.557511872441 -0.185393957582 -0.362404917082 2.38738713861 -5.39767011871 14.5410164541}
	{106 1.491672 9.97182 10.185053 0.904476225802 -0.227430056778 -0.324123080917 0.158564039585 13.1778381447 -3.9604666843 15.8720413857}
	{107 3.442417 9.49528 12.022108 0.736939930193 0.492019953393 -0.257368975621 -0.385482963485 8.89899635864 4.45859178114 -15.0312997488}
	{108 10.391833 3.898331 13.26599 0.60091765346 -0.457413736216 0.0197649886018 -0.655194622159 -6.51960377232 -1.73477744344 7.88578011255}
	{109 3.478435 15.149016 1.357099 0.697231215753 -0.600507185822 -0.341145105565 -0.192041059426 -32.584131062 -7.62452346065 14.4371504769}
	{110 8.47506 11.5962 3.67239 0.948984206974 -0.232742050761 -0.201453043937 -0.0683870149153 -0.911451595702 1.79481861785 -0.608128769868}
	{111 14.998577 12.745092 7.599397 0.909504942452 -0.29490898134 -0.292950981464 -0.00302899980834 25.5414598177 -19.2847208011 18.1607016112}
	{112 14.802483 3.037734 5.233093 0.541393023151 0.537992023005 0.455427019475 0.458306019598 -1.64774545828 5.49270216079 0.320236015433}
	{113 2.640232 9.714119 3.400683 0.870491877566 -0.299579957864 -0.377452946912 0.100124985918 10.1478939739 8.98477750059 -0.22259866426}
	{114 6.130427 14.327679 12.041895 0.716361150154 0.227464047678 -0.199623041842 -0.628679131775 7.98818764156 -7.38283194371 -1.57625199259}
	{115 10.266118 11.020669 7.473477 0.727742785784 -0.56621783333 -0.223261934281 -0.316135906943 6.78853341222 -10.5721723271 -20.3978916859}
	{116 6.475409 14.796312 4.821263 0.70356117855 0.535895136 0.282796071768 0.371274094222 10.3521060533 7.86043027838 10.7133481019}
	{117 5.939948 1.040372 12.559051 0.670900280871 0.633480265205 -0.264648110794 -0.280280117339 -0.274055339364 2.27194241314 -1.51129663744}
	{118 0.733892 5.123796 4.529274 0.325140911908 -0.647960824445 0.217437941088 -0.653567822926 -7.34226499521 -2.61649926388 12.0173228029}
	{119 5.246262 6.530282 1.003121 0.910937366407 0.235569094753 -0.084792034106 -0.327888131887 52.0330130873 -7.47614838198 23.2764519254}
	{120 6.448676 0.981467 6.407907 0.620238742681 -0.249588896453 0.0225259906546 -0.743304691624 14.2325240815 8.26202978608 -4.83377538545}
	{121 7.35532 7.378556 4.724271 0.680603114448 0.311890052446 -0.276183046442 -0.602683101345 2.49625396958 8.37518926742 -3.18825729056}
	{122 0.669114 0.506808 3.03456 0.61544310439 0.418327070956 0.375519063695 0.552465093708 -33.591947045 46.4296760024 26.0302545606}
	{123 11.880726 4.629301 9.989091 0.723545222946 0.685161211119 0.0576770177721 0.0609080187676 -17.9399057683 -6.60437739137 3.0131943043}
	{124 8.926661 5.491271 0.870387 0.97831820219 -0.0668850138232 -0.0952780196912 0.171295035402 -0.00737971574785 2.29243193991 13.8989861752}
	{125 0.509892 5.003901 8.296793 0.55020181012 0.482543833469 -0.449353844924 -0.51235782318 7.40953049259 14.8813484338 31.6705461637}
	{126 7.914576 14.976963 0.144136 0.690282762381 -0.594451795369 -0.178065938703 -0.372060871924 -16.8504273622 -5.55813720259 -6.97298131568}
	{127 6.965373 11.511886 4.655558 0.941908320135 -0.181745061771 -0.245256083358 0.140096047616 23.4242236038 29.0420644469 5.3408089032}
	{128 11.616554 3.717013 6.765743 0.876418116785 0.408975054497 0.107504014325 0.230377030698 -29.5908465133 6.54839811938 35.8841122089}
	{129 3.795519 4.00265 10.940474 0.946115229626 0.0702200170426 0.0233980056788 0.315258076514 -4.44685706111 -1.86835703241 -1.67660887906}
	{130 4.734718 9.81492 12.733979 0.635833990331 0.567794991365 -0.348224994704 -0.38995299407 3.73203720523 -4.28174755543 1.06932419909}
	{131 11.536047 3.952275 11.651186 0.785594046738 0.496668029549 0.197188011731 0.311897018556 -3.20008061603 -2.64300004378 -1.14187860834}
	{132 9.463055 5.877367 2.552273 0.914888065129 0.304868021703 -0.0836640059558 -0.251069017873 13.3404107394 -29.3884426181 -17.5925247659}
	{133 11.535954 7.263463 2.251502 0.663960848245 -0.151422965391 0.00740499830752 -0.73223783264 76.9616549058 4.28352081733 -17.6470824072}
	{134 10.727654 0.951434 6.558945 0.862695765594 0.449994877731 -0.106731971 -0.204618944402 7.92216419546 -14.0921521705 -10.1414501848}
	{135 12.540973 14.663203 15.046947 0.654206855761 0.471840895969 0.345764923766 0.479401894302 6.7201016623 9.94199603905 -1.41759593958}
	{136 14.627218 13.742498 0.010643 0.795505990987 0.180846997951 0.128203998547 0.56393999361 -5.84782575403 -22.7873978618 -2.24814148257}
	{137 8.00515 8.023402 10.931681 0.43275284401 -0.470894830262 0.128598953645 -0.7579217268 2.83648023645 17.733664042 -23.8835514706}
	{138 4.976024 10.805334 15.533164 0.858487309401 0.509468183614 0.0299400107905 0.0504510181827 15.6823127673 17.9456220507 25.9578331316}
	{139 6.111737 0.818408 3.132746 0.748707321247 0.383498164547 0.246503105767 0.48125120649 -1.9392682529 1.75482098497 -2.15781610503}
	{140 5.964673 14.596479 8.81174 0.638211087564 0.621524085274 0.316960043487 0.325470044655 -0.536053136617 -0.523003985922 -3.08614713918}
	{141 6.836712 8.534622 9.825017 0.48943322732 -0.669885311133 0.0430420199912 -0.556647258538 -0.188835575184 -0.457130833999 0.0704226971938}
	{142 10.191391 3.567001 7.120082 0.617055234062 0.352380133665 0.348923132354 0.611002231766 -6.39464886229 -18.2635722581 19.9485699102}
	{143 2.00574 8.87655 11.040493 0.529771925243 0.484743931597 0.469815933703 0.513456927545 -11.1561945982 -3.854998223 29.1624297047}
	{144 8.402247 11.605338 8.220313 0.623751981369 -0.51290698468 -0.0144279995691 -0.589619982389 -4.70807744574 -3.44685208136 6.97090065192}
	{145 6.332383 6.431479 7.692034 0.767943649698 0.639878708115 -0.0183059916496 -0.0219699899782 -9.90578173808 -1.87708444025 20.8325134216}
	{146 0.345139 11.759887 8.313086 0.709846017845 -0.250171006289 -0.592038014883 0.288139007244 -10.9167076149 -0.429685467707 55.922444473}
	{147 12.46789 3.364761 4.673169 0.751474913561 0.556566935981 0.210860975746 0.284703967252 -24.5250453016 -9.31423415633 -28.9540670794}
	{148 15.46207 6.825014 5.509331 0.675759091851 -0.630093085644 -0.262817035723 -0.27795603778 4.53744291092 -13.0891854913 -3.3852377331}
	{149 7.028604 6.413706 4.468194 0.931198405657 0.257792112302 0.0687570299526 0.248365108195 26.5329166482 -7.21324516162 -3.03633504815}
	{150 2.646438 12.186483 7.513561 0.971955441969 -0.158238071954 -0.122572055736 -0.123448056134 14.9060046038 -18.7262642611 12.3765119112}
	{151 5.0099 15.189742 12.220561 0.925044097019 0.177276018593 0.0632320066318 0.329952034605 -8.16289304367 13.1400528787 3.35467821604}
	{152 14.725124 12.053885 1.004755 0.901321201486 -0.218867048927 -0.327806073279 0.179612040151 -40.0690294337 6.29838058077 5.15626400627}
	{153 3.967479 11.285344 5.071856 0.862614740771 -0.343289896836 -0.149040955211 -0.340344897721 10.0271771815 -0.94600182267 3.18093258971}
	{154 10.541121 10.500762 9.589354 0.828323054174 -0.445813029157 -0.260163017015 -0.217823014246 -1.78429108195 -0.758082105821 -0.701974592495}
	{155 1.518718 4.158664 15.51892 0.750916184207 0.423115103794 0.24891006106 0.441749108365 -2.26924500218 -6.47729017917 -26.6542740032}
	{156 4.730329 4.290656 12.266788 0.875784447347 0.317985162425 -0.123942063309 -0.341358174364 25.6214883167 -22.5011925306 -7.66651435119}
	{157 5.51379 15.796536 14.812296 0.854706842514 -0.322328940608 -0.397100926831 0.088831983632 -0.635355888051 -0.119065227001 -7.54879420942}
	{158 7.252719 6.25847 1.277549 0.624757991775 0.557289992663 -0.364054995207 -0.408128994627 -10.3677526112 0.0032118499071 2.18888851095}
	{159 4.343073 5.769945 13.898698 0.681341099593 0.393077057457 -0.308559045103 -0.534842078179 -6.80335338192 4.7267279961 -3.36795594201}
	{160 14.88554 9.645872 3.622125 0.832068232759 0.353947099012 0.167170046763 0.392986109932 -45.0319299817 -33.9703895439 14.4511200323}
	{161 4.351741 2.44733 2.061743 0.748998117768 0.661658104035 -0.0230330036216 -0.0260740040997 2.94293521755 3.29660220519 19.8427592799}
	{162 2.200271 13.139423 3.764672 0.844937226392 -0.322638086447 -0.413622110826 0.104415027977 3.97006104577 5.17579909304 1.0260455035}
	{163 6.609397 10.736887 9.551095 0.885063206265 0.456386106361 0.0419420097746 0.0813370189557 2.34912978713 3.70457240548 5.96655922501}
	{164 1.869664 4.452027 2.202927 0.513839095641 -0.442336082332 0.0771640143626 -0.730995136061 -2.39198582835 -0.644905398589 1.96657089554}
	{165 11.727976 5.180057 15.136329 0.562844139874 -0.521498129599 0.0336150083538 -0.640403159149 0.404465592439 -13.2598204449 -10.2440249953}
	{166 7.764073 6.184461 3.377547 0.684330390218 0.580113330792 -0.285663162891 -0.336982192154 -2.31388805455 -3.33604528753 4.25711865186}
	{167 7.152221 0.679223 10.200005 0.768116022812 0.580686017245 -0.162714004832 -0.215234006392 -4.04002665635 6.42090827129 4.8263275322}
	{168 8.821335 10.155493 9.457826 0.659773913583 -0.575871924572 -0.0947199875936 -0.473389937995 -21.1268804644 13.1116325086 -8.21707253713}
	{169 10.297222 7.576957 8.25353 0.791975133893 -0.230080038898 -0.488563082598 0.284859048159 -0.278773408193 0.878381739222 -2.58680815478}
	{170 8.765453 2.829532 10.955713 0.873892240307 -0.362721099743 -0.318677087631 -0.0564860155328 9.49280604203 -15.0656236814 12.321051776}
	{171 5.116817 8.15772 5.875504 0.733548169106 -0.352769081324 -0.557072128422 0.164717037972 -4.15275525412 -22.352655947 31.2592504232}
	{172 3.27807 6.564042 14.763587 0.68067000454 0.370704002472 -0.302217002016 -0.554916003701 1.27420394101 0.703002797675 0.339694632982}
	{173 13.970043 7.799551 14.330381 0.823623431673 0.513963269376 0.126932066527 0.203407106609 -8.5297876586 -14.304002363 8.98893126477}
	{174 9.794331 13.164295 15.382108 0.622033746006 0.609913750955 -0.343755859635 -0.350586856845 -0.195034174802 2.78130389835 -12.2326014436}
	{175 0.721498 2.756587 9.87377 0.797491219151 0.555706152708 0.134319036911 0.192761052971 14.6456437325 4.47278927756 -6.87852091211}
	{176 2.299952 1.779335 9.864467 0.740903237206 0.321120102809 0.234574075101 0.541220173276 -20.9392208504 10.5030100498 31.6867462853}
	{177 6.077761 2.343727 2.52221 0.842300723468 0.3557668832 0.157550948275 0.373010877538 -13.8333594557 -18.5213574196 -14.7345709492}
	{178 7.897222 3.891958 12.580022 0.815824006704 -0.395376003249 -0.421238003462 0.0258370002123 8.57478971597 8.16779609954 -2.70220000696}
	{179 13.263613 2.860908 2.864214 0.696631952549 0.450065969344 0.303182979349 0.469280968035 -15.1491381373 -26.4980876142 7.48040138705}
	{180 6.215993 13.418571 13.647456 0.736334029284 0.605862024095 -0.191398007612 -0.232616009251 -4.43177243374 -5.86259386506 5.89944331525}
	{181 10.615638 13.146838 3.756393 0.523376059631 0.502487057251 0.476605054302 0.496419056559 15.2568418477 33.7202510285 -19.3459169889}
	{182 11.580281 9.454212 12.782574 0.801476112474 0.519154072854 0.161381022647 0.249141034963 -3.71536759103 -2.77094701858 -5.25876705644}
	{183 5.918849 10.58622 5.842116 0.869349535665 -0.300826185359 -0.120105074005 -0.37324222998 -4.94982056634 35.808654198 -14.078114609}
	{184 15.335064 10.884426 7.470232 0.699229102418 0.320445046936 -0.266242038997 -0.580955085094 17.1774738223 7.06148063479 1.41024828018}
	{185 14.329331 12.947731 10.294641 0.618634719409 0.411078813549 -0.370563831925 -0.557662747063 2.28471327418 -2.31681969403 -2.28227664156}
	{186 3.418384 9.353041 5.723855 0.67615489733 0.317403951804 -0.282531957099 -0.60186790861 5.24683254107 -16.4360601387 -7.6607122525}
	{187 9.623393 9.884966 1.605355 0.72312708435 0.221413025827 0.191551022344 0.625597072973 0.0320166961436 15.9585553463 -1.32779317059}
	{188 9.496292 12.683584 4.473956 0.949408052245 -0.22770101253 -0.172859009512 -0.129986007153 -5.86112781107 -47.8862752863 28.1658868605}
	{189 3.921669 15.15268 13.279723 0.724450067334 0.399845037163 0.271331025219 0.491605045692 9.2620341446 17.1769843985 14.7260489076}
	{190 12.337155 7.396308 8.152885 0.921383110762 -0.134896016216 -0.0591500071106 -0.359663043236 20.0455298591 -3.07670421213 -16.6953649367}
