{interactions 
	{0 2 lennard-jones 12.0 3.0 3.36739 0.032899 0.0 0.0 }
	{17 2 0.0 17.2136 16.1334 13.7435 -0.0137659 -0.0220863 -0.00958273 0.423675 0.294653 -0.403267}
	{18 2 0.0 17.7263 14.5336 14.3699 -0.0496457 0.0432623 0.0833842 0.814089 0.0560584 -1.73179}
	{19 2 0.0 14.2781 12.4076 14.2813 0.0573717 0.0516204 -0.0118469 0.362173 0.0655814 0.40698}
	{20 2 0.0 15.915 14.7643 17.6489 -0.0489612 0.0302361 -0.0628898 0.163042 -0.558598 0.615105}
	{21 2 0.0 14.7112 17.2663 13.3639 0.0278262 0.00355736 -0.0173152 -1.90538 -0.251009 -0.328973}
	{22 2 0.0 14.43 17.7486 15.1141 -0.0194309 -0.0790143 0.00955099 1.20784 -1.96451 1.0906}
	{23 2 0.0 15.8051 13.0948 16.8669 -0.00465855 0.0266813 0.00586324 0.059652 -0.413095 0.497192}
	{24 2 0.0 17.1877 14.2099 16.6238 -0.0296307 -0.0227779 -0.0993547 -0.00880679 -0.262117 1.9}
	{25 2 0.0 15.043 13.9957 12.3024 0.025046 -0.0254463 0.0368014 -1.13259 0.208641 0.901549}
	{26 2 0.0 12.4058 14.1173 14.4424 -0.0199238 0.00938092 0.0291683 2.56238 -0.54595 0.572143}
	{27 2 0.0 14.5128 16.1179 17.6078 0.0454703 0.00744558 -0.0225399 -0.684544 0.259177 -1.25811}
	{28 2 0.0 12.5022 15.0123 16.2844 0.0738842 0.00966809 -0.0433699 -1.05591 0.304858 0.620213}
	{29 2 0.0 16.7712 17.1741 15.1696 -0.0189524 -0.0775646 -0.0185077 -1.94936 -1.05923 -1.2591}
	{30 2 0.0 14.7521 13.098 17.038 -0.0179626 -0.0248662 0.0502664 1.31693 0.686125 -2.17097}
	{31 2 0.0 12.7103 14.482 13.4849 -0.0221476 0.00729532 0.026012 0.484235 1.00888 -0.931136}
	{32 2 0.0 15.0433 15.9807 12.2966 0.016055 0.0287261 0.043849 -0.33186 0.425437 1.37794}
	{33 2 0.0 17.3805 16.4871 14.6634 -0.00360064 -0.0483777 -0.0330838 -1.29922 -0.0562279 0.163937}
	{34 2 0.0 16.424 16.6013 13.1998 0.0151365 0.0255775 -0.0507015 -0.0446647 -1.01568 2.42306}
	{35 2 0.0 16.9444 15.9324 16.8545 -0.0703776 -0.0384598 -0.0870944 -0.513809 1.68969 0.757115}
	{36 2 0.0 12.3484 15.7723 15.6477 0.0662155 0.0242505 -0.0793777 -0.738428 0.236809 1.76326}
	{37 2 0.0 13.9794 15.2714 17.6368 0.0139806 -0.0061228 -0.022431 -2.37808 0.603426 -0.349346}
	{38 2 0.0 12.8357 16.6568 15.6144 -0.01172 0.00175064 -0.0329854 -0.417519 -1.03161 0.949779}
	{39 2 0.0 15.014 14.986 12.1597 0.00591478 0.00109243 0.0265629 -2.3348 0.599227 -0.603758}
	{40 2 0.0 15.9379 17.6007 14.6607 -0.0480072 -0.0512487 -0.0340552 -0.489497 -0.071802 0.235569}
	{41 2 0.0 12.9465 13.5254 13.7349 0.0161854 0.0488803 -0.0281311 1.13704 0.044497 0.667324}
	{42 2 0.0 16.7552 13.3276 16.3888 0.0237084 -0.00130849 -0.02572 -0.0130679 1.00746 1.04811}
	{43 2 0.0 14.4316 12.3049 15.414 -0.0274843 0.0704575 0.0188047 -0.279233 0.273185 -0.393469}
	{44 2 0.0 16.1006 15.0566 12.3821 -0.0157281 -0.00148383 0.0219397 2.38303 -0.598694 0.347955}
	{45 2 0.0 14.4292 13.8417 17.573 -0.0328727 -0.00700139 -0.0386288 1.11983 -0.241318 -0.894977}
	{46 2 0.0 15.3503 17.246 16.6215 -0.00652236 0.0205873 0.0559072 -0.857179 0.0411759 -1.85911}
	{47 2 0.0 15.914 12.7576 13.5743 -0.0190142 -0.00332855 -0.02684 1.87769 0.251809 0.445155}
	{48 2 0.0 15.1008 12.5126 16.2472 -0.00716575 0.018593 0.0441729 -0.575888 0.964134 -1.22479}
	{49 2 0.0 12.4894 16.1832 14.6943 -0.0293574 0.0254711 -0.0487479 1.62952 -1.0506 1.10669}
	{50 2 0.0 14.1545 14.4238 12.3861 0.0497864 -0.00350819 0.0388254 -0.314527 -0.0529532 0.110255}
	{51 2 0.0 14.8376 12.706 13.4165 0.00570578 -0.0203425 -0.0559988 -1.40414 0.534193 1.41002}
	{52 2 0.0 13.5601 17.3678 15.5587 -0.019671 -0.0480909 0.0275337 1.13676 -0.62144 -0.202227}
	{53 2 0.0 16.1128 12.6198 16.0429 0.00720486 0.0474747 0.0338955 -0.963902 0.635645 -0.622105}
	{54 2 0.0 16.1847 15.7897 17.4327 -0.0245112 0.0187014 -0.0397494 0.941799 -0.145943 -1.40282}
	{55 2 0.0 14.0099 17.4838 14.1478 0.0134738 -0.00927558 -0.000883293 0.337718 -1.02073 -1.0835}
	{56 2 0.0 16.7943 14.9608 17.1605 -0.0509297 -0.00862538 -0.0690831 0.735392 -0.314949 0.978843}
	{57 2 0.0 17.3933 13.5702 14.6334 -0.000359414 0.0257955 -0.000555754 -1.39867 0.482402 -0.15928}
	{58 2 0.0 15.488 12.2483 15.2872 0.013759 0.0789551 0.0175684 -1.54241 1.95353 0.548892}
	{59 2 0.0 13.5216 16.8795 16.4301 0.00194244 -0.0268219 0.00675088 -0.241111 0.400592 0.459526}
	{60 2 0.0 17.6988 15.5336 14.5118 0.010239 -0.00762606 0.0326389 -0.0864336 -0.985834 -1.06435}
	{61 2 0.0 12.858 16.0234 16.4775 0.0514821 0.00340543 -0.0323878 -0.785917 0.941643 0.305956}
	{62 2 0.0 16.8165 14.5373 12.9035 -0.0764423 0.00194997 0.0373733 0.610433 0.353668 -0.454194}
	{63 2 0.0 13.3366 14.9496 12.753 0.0279507 -0.0237771 0.048619 -0.9545 -0.517432 -0.666122}
	{64 2 0.0 13.3107 12.8291 14.429 0.0244033 0.077749 -0.0083747 2.27041 1.08343 -0.366389}
	{65 2 0.0 12.7376 15.4841 13.3586 0.0132746 -0.0447386 0.0955009 -0.0634288 -0.0269606 -1.91758}
	{66 2 0.0 12.313 15.1457 14.2547 -0.0533976 -0.00444681 0.0321187 2.19899 0.0719335 -0.329461}
	{67 2 0.0 16.9971 16.6429 16.0901 -0.0163388 -0.00223291 0.000200452 -0.801082 -0.866809 0.969383}
	{68 2 0.0 16.0149 16.0448 12.5168 -0.0374373 0.0249912 0.0243912 0.694219 -0.225944 1.26921}
	{69 2 0.0 17.7645 14.8573 15.3657 0.0364228 0.00364917 0.0503746 -1.89673 -0.0420469 -1.1805}
	{70 2 0.0 13.731 13.4596 16.9923 -0.0238342 -0.0665433 0.0467595 0.97732 1.44166 -1.6823}
	{71 2 0.0 12.9588 14.1775 16.7614 0.0381889 -0.0183478 -0.0272433 -0.314022 0.166234 -1.65924}
	{72 2 0.0 14.0489 12.7311 16.3205 -0.0159499 -0.021356 0.0537539 1.52623 -0.0270267 -1.37573}
	{73 2 0.0 15.4721 13.2752 12.8195 -0.00810201 -0.064437 -0.0543297 -0.247819 1.53035 1.85413}
	{74 2 0.0 17.4604 15.1888 16.3481 -0.0123691 -0.0226729 -0.00206877 -1.40881 0.233879 -0.395911}
	{75 2 0.0 13.8013 12.9884 13.4935 0.0161543 0.0177902 -0.0421513 0.925262 0.451127 1.30268}
	{76 2 0.0 12.487 14.0459 15.9296 0.0988772 0.0395584 -0.0520512 0.172849 -1.70225 0.874956}
	{77 2 0.0 12.9376 16.4425 13.7459 0.000643581 -0.0258607 -0.000799934 1.35378 -0.488223 0.378174}
	{78 2 0.0 13.1084 17.0296 14.6505 -0.00977271 -0.00179577 -0.0354189 2.52539 -0.756175 0.456673}
	{79 2 0.0 13.121 13.2879 16.1977 0.0146226 -0.0144843 0.0258668 -1.5425 1.1389 -0.357034}
	{80 2 0.0 15.417 13.8202 17.5127 -0.0448089 0.0238964 -0.0377539 0.258706 -0.177147 -0.122837}
	{81 2 0.0 16.2538 16.6882 16.864 -0.0235933 0.0142297 0.0182755 1.56318 -1.13345 0.256487}
	{82 2 0.0 16.3944 13.948 17.1834 -0.0346324 -0.00286835 -0.0501518 0.586707 -0.953772 0.585766}
	{83 2 0.0 14.4007 13.4303 12.7619 0.00600269 -0.0247633 -0.0528294 -0.906107 0.967067 2.25591}
	{84 2 0.0 17.2576 14.0032 13.6588 -0.0623923 0.0376473 0.046005 1.08782 -0.155251 -0.617391}
	{85 2 0.0 13.1191 15.1987 17.0813 0.0698176 -0.0292413 -0.0390611 -0.38427 0.549822 0.522678}
	{86 2 0.0 13.5933 14.3679 17.4277 0.0156836 -0.0369334 -0.0375034 0.0369234 -0.347158 -1.43844}
	{87 2 0.0 12.7404 13.3471 15.1951 0.0149593 0.00203757 0.00665221 0.353363 0.841568 1.20351}
	{88 2 0.0 14.375 16.5042 12.6995 0.0295857 0.00119434 0.0409577 -0.939333 0.137957 1.39491}
	{89 2 0.0 15.3524 17.6869 15.644 0.0181181 -0.0708197 0.0270598 0.413378 -0.262234 -0.257614}
	{90 2 0.0 13.4459 16.0237 12.8962 0.0392178 -0.0386052 0.0663221 -0.771711 0.170877 -0.982563}
	{91 2 0.0 16.2525 12.5263 14.567 -0.0121164 0.00940439 -0.00591965 0.0979439 1.04234 -1.11}
	{92 2 0.0 16.2302 17.3074 16.0826 0.00691812 -0.0448362 0.0373852 -0.960379 -1.06222 -0.272102}
	{93 2 0.0 14.1494 15.4997 12.3664 0.055589 -0.00296682 0.0643412 -0.373121 -0.336252 -0.67339}
	{94 2 0.0 14.4107 17.4688 16.1449 -0.0105194 -0.0194161 0.0433107 1.01739 -0.937329 -0.918896}
	{95 2 0.0 13.4596 13.8924 12.9594 0.0164463 0.022167 -0.00319437 -0.21329 -0.286293 -0.543045}
	{96 2 0.0 15.3403 15.5914 17.794 0.00011339 0.0375385 -0.0401074 0.526989 0.369804 -1.32909}
	{97 2 0.0 15.7631 17.317 13.6415 0.0167875 0.0211267 -0.0534279 0.732522 -0.549355 1.83468}
	{98 2 0.0 16.4814 13.5286 13.1064 -0.0430485 -0.00136162 0.0261476 0.310432 -0.164258 1.6475}
	{99 2 0.0 12.2086 14.7986 15.2726 0.0121176 0.022702 0.00321823 1.459 -0.233558 0.175107}
	{100 2 0.0 14.9059 14.686 17.8214 -0.00412999 0.00650983 -0.0260746 2.32297 -0.604039 0.605658}
}

